job, operation, machine, cost
J1, O1, M1, 4
J1, O1, M2, 2
J1, O1, M3, 10
J1, O1, M4, 10
J1, O1, M5, 4
J1, O2, M1, 2
J1, O2, M2, 2
J1, O2, M3, 3
J1, O2, M4, 1
J1, O2, M5, 6
J2, O1, M1, 10
J2, O1, M2, 4
J2, O1, M3, 5
J2, O1, M4, 10
J2, O1, M5, 7
J3, O1, M1, 5
J3, O1, M2, 1
J3, O1, M3, 4
J3, O1, M4, 3
J3, O1, M5, 1
J3, O2, M1, 1
J3, O2, M2, 1
J3, O2, M3, 1
J3, O2, M4, 3
J3, O2, M5, 2
J3, O3, M1, 3
J3, O3, M2, 2
J3, O3, M3, 7
J3, O3, M4, 4
J3, O3, M5, 10
J3, O4, M1, 3
J3, O4, M2, 8
J3, O4, M3, 7
J3, O4, M4, 9
J3, O4, M5, 3
J3, O5, M1, 3
J3, O5, M2, 6
J3, O5, M3, 8
J3, O5, M4, 1
J3, O5, M5, 8
J3, O6, M1, 6
J3, O6, M2, 6
J3, O6, M3, 7
J3, O6, M4, 10
J3, O6, M5, 6
J4, O1, M1, 6
J4, O1, M2, 7
J4, O1, M3, 4
J4, O1, M4, 2
J4, O1, M5, 2
J4, O2, M1, 8
J4, O2, M2, 7
J4, O2, M3, 1
J4, O2, M4, 6
J4, O2, M5, 2
J4, O3, M1, 6
J4, O3, M2, 8
J4, O3, M3, 5
J4, O3, M4, 10
J4, O3, M5, 9
J4, O4, M1, 4
J4, O4, M2, 7
J4, O4, M3, 4
J4, O4, M4, 6
J4, O4, M5, 4
J4, O5, M1, 4
J4, O5, M2, 7
J4, O5, M3, 1
J4, O5, M4, 3
J4, O5, M5, 9
J4, O6, M1, 4
J4, O6, M2, 4
J4, O6, M3, 5
J4, O6, M4, 8
J4, O6, M5, 2
J4, O7, M1, 2
J4, O7, M2, 6
J4, O7, M3, 4
J4, O7, M4, 1
J4, O7, M5, 4
J4, O8, M1, 10
J4, O8, M2, 8
J4, O8, M3, 4
J4, O8, M4, 4
J4, O8, M5, 4
J4, O9, M1, 1
J4, O9, M2, 8
J4, O9, M3, 5
J4, O9, M4, 2
J4, O9, M5, 7
J4, O10, M1, 2
J4, O10, M2, 8
J4, O10, M3, 1
J4, O10, M4, 3
J4, O10, M5, 2
J5, O1, M1, 3
J5, O1, M2, 9
J5, O1, M3, 4
J5, O1, M4, 6
J5, O1, M5, 4
J5, O2, M1, 4
J5, O2, M2, 10
J5, O2, M3, 2
J5, O2, M4, 9
J5, O2, M5, 1
J5, O3, M1, 4
J5, O3, M2, 9
J5, O3, M3, 4
J5, O3, M4, 2
J5, O3, M5, 4
J5, O4, M1, 6
J5, O4, M2, 3
J5, O4, M3, 7
J5, O4, M4, 6
J5, O4, M5, 10
J6, O1, M1, 2
J6, O1, M2, 4
J6, O1, M3, 5
J6, O1, M4, 3
J6, O1, M5, 4
J6, O2, M1, 5
J6, O2, M2, 2
J6, O2, M3, 10
J6, O2, M4, 4
J6, O2, M5, 6
J6, O3, M1, 6
J6, O3, M2, 2
J6, O3, M3, 3
J6, O3, M4, 8
J6, O3, M5, 7
J6, O4, M1, 6
J6, O4, M2, 9
J6, O4, M3, 10
J6, O4, M4, 1
J6, O4, M5, 4
J6, O5, M1, 1
J6, O5, M2, 8
J6, O5, M3, 3
J6, O5, M4, 6
J6, O5, M5, 2
J6, O6, M1, 7
J6, O6, M2, 1
J6, O6, M3, 9
J6, O6, M4, 4
J6, O6, M5, 7
J6, O7, M1, 7
J6, O7, M2, 6
J6, O7, M3, 7
J6, O7, M4, 2
J6, O7, M5, 8
J7, O1, M1, 4
J7, O1, M2, 8
J7, O1, M3, 2
J7, O1, M4, 7
J7, O1, M5, 5
J7, O2, M1, 8
J7, O2, M2, 9
J7, O2, M3, 8
J7, O2, M4, 7
J7, O2, M5, 9
J7, O3, M1, 1
J7, O3, M2, 7
J7, O3, M3, 4
J7, O3, M4, 8
J7, O3, M5, 7
J7, O4, M1, 9
J7, O4, M2, 8
J7, O4, M3, 1
J7, O4, M4, 9
J7, O4, M5, 4
J7, O5, M1, 1
J7, O5, M2, 4
J7, O5, M3, 4
J7, O5, M4, 10
J7, O5, M5, 10
J7, O6, M1, 7
J7, O6, M2, 7
J7, O6, M3, 10
J7, O6, M4, 9
J7, O6, M5, 7
J7, O7, M1, 4
J7, O7, M2, 4
J7, O7, M3, 6
J7, O7, M4, 9
J7, O7, M5, 6
J7, O8, M1, 10
J7, O8, M2, 3
J7, O8, M3, 8
J7, O8, M4, 8
J7, O8, M5, 9
J7, O9, M1, 4
J7, O9, M2, 1
J7, O9, M3, 8
J7, O9, M4, 2
J7, O9, M5, 5
J8, O1, M1, 7
J8, O1, M2, 1
J8, O1, M3, 6
J8, O1, M4, 5
J8, O1, M5, 5
J8, O2, M1, 1
J8, O2, M2, 5
J8, O2, M3, 3
J8, O2, M4, 10
J8, O2, M5, 5
J9, O1, M1, 3
J9, O1, M2, 6
J9, O1, M3, 4
J9, O1, M4, 5
J9, O1, M5, 9
J9, O2, M1, 4
J9, O2, M2, 10
J9, O2, M3, 8
J9, O2, M4, 7
J9, O2, M5, 2
J9, O3, M1, 3
J9, O3, M2, 8
J9, O3, M3, 9
J9, O3, M4, 4
J9, O3, M5, 4
J10, O1, M1, 8
J10, O1, M2, 5
J10, O1, M3, 2
J10, O1, M4, 9
J10, O1, M5, 5
J10, O2, M1, 10
J10, O2, M2, 5
J10, O2, M3, 1
J10, O2, M4, 5
J10, O2, M5, 5
J10, O3, M1, 10
J10, O3, M2, 7
J10, O3, M3, 4
J10, O3, M4, 9
J10, O3, M5, 1
J10, O4, M1, 8
J10, O4, M2, 4
J10, O4, M3, 9
J10, O4, M4, 3
J10, O4, M5, 10
J10, O5, M1, 6
J10, O5, M2, 5
J10, O5, M3, 9
J10, O5, M4, 6
J10, O5, M5, 1
J10, O6, M1, 9
J10, O6, M2, 6
J10, O6, M3, 6
J10, O6, M4, 1
J10, O6, M5, 3
J10, O7, M1, 9
J10, O7, M2, 5
J10, O7, M3, 9
J10, O7, M4, 10
J10, O7, M5, 5
J10, O8, M1, 10
J10, O8, M2, 9
J10, O8, M3, 7
J10, O8, M4, 3
J10, O8, M5, 5
